title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2014,Keanu Reeves,1.5,0,1,0,2014,Michael Nyqvist,3,0,1,0,2014,Alfie Allen,4.5,0,1,0,2014,Willem Dafoe,6,0,1,0,2014,Dean Winters,7.5,0,1,0,2014,Adrianne Palicki,9,0,1,0
2015,Robert Downey Jr.,1,1,0,0,2015,Chris Hemsworth,2,1,0,0,2015,Mark Ruffalo,3,1,0,0,2015,Chris Evans,4,1,0,0,2015,Scarlett Johansson,5,1,0,0,2015,Jeremy Renner,6,1,0,0
2015,Sharlto Copley,1,1,0,0,2015,Dev Patel,2,1,0,0,2015,Ninja,3,1,0,0,2015,Yolandi Visser,4,1,0,0,2015,Jose Pablo Cantillo,5,1,0,0,2015,Hugh Jackman,6,1,0,0
2005,Christian Bale,1,1,0,0,2005,Michael Caine,2,1,0,0,2005,Liam Neeson,3,1,0,0,2005,Katie Holmes,4,1,0,0,2005,Gary Oldman,5,1,0,0,2005,Cillian Murphy,6,1,0,0
2016,Miles Teller,1.5,0,1,0,2016,Jonah Hill,3,0,1,0,2016,Ana de Armas,4.5,0,1,0,2016,Barry Livingston,6,0,1,0,2016,Brenda Koo,7.5,0,1,0,2016,Jeff Pierre,9,0,1,0
2016,Maria Ehrich,1.5,0,1,0,2016,Jannis NiewÌ_hner,3,0,1,0,2016,Peter Simonischek,4.5,0,1,0,2016,Josefine PreuÌÙ,6,0,1,0,2016,Florian BartholomÌ_i,7.5,0,1,0,2016,Laura Berlin,9,0,1,0
2014,Hugh Jackman,1,1,0,0,2014,James McAvoy,2,1,0,0,2014,Patrick Stewart,3,1,0,0,2014,Michael Fassbender,4,1,0,0,2014,Ian McKellen,5,1,0,0,2014,Jennifer Lawrence,6,1,0,0
2013,Jennifer Lawrence,1,1,0,0,2013,Josh Hutcherson,2,1,0,0,2013,Liam Hemsworth,3,1,0,0,2013,Woody Harrelson,4,1,0,0,2013,Elizabeth Banks,5,1,0,0,2013,Lenny Kravitz,6,1,0,0
2016,Seth Rogen,1.5,0,1,0,2016,Rose Byrne,3,0,1,0,2016,Zac Efron,4.5,0,1,0,2016,ChloÌÇ Grace Moretz,6,0,1,0,2016,Kiersey Clemons,7.5,0,1,0,2016,Dave Franco,9,0,1,0
2016,Emilia Clarke,1.5,0,1,0,2016,Sam Claflin,3,0,1,0,2016,Janet McTeer,4.5,0,1,0,2016,Charles Dance,6,0,1,0,2016,Brendan Coyle,7.5,0,1,0,2016,Steve Peacocke,9,0,1,0
2014,Denzel Washington,1,1,0,0,2014,Marton Csokas,2,1,0,0,2014,ChloÌÇ Grace Moretz,3,1,0,0,2014,David Harbour,4,1,0,0,2014,Haley Bennett,5,1,0,0,2014,Bill Pullman,6,1,0,0
2015,Mark Wahlberg,1,1,0,0,2015,Seth MacFarlane,2,1,0,0,2015,Amanda Seyfried,3,1,0,0,2015,Jessica Barth,4,1,0,0,2015,Giovanni Ribisi,5,1,0,0,2015,Morgan Freeman,6,1,0,0
2014,Scarlett Johansson,1,1,0,0,2014,Morgan Freeman,2,1,0,0,2014,Choi Min-sik,3,1,0,0,2014,Amr Waked,4,1,0,0,2014,Julian Rhind-Tutt,5,1,0,0,2014,Pilou AsbÌ_k,6,1,0,0
2016,Russell Crowe,1,1,0,0,2016,Ryan Gosling,2,1,0,0,2016,Angourie Rice,3,1,0,0,2016,Matt Bomer,4,1,0,0,2016,Margaret Qualley,5,1,0,0,2016,Keith David,6,1,0,0
2016,John Leguizamo,1,1,0,0,2016,Keke Palmer,2,1,0,0,2016,Denis Leary,3,1,0,0,2016,Ray Romano,4,1,0,0,2016,Wanda Sykes,5,1,0,0,2016,Jennifer Lopez,6,1,0,0
2015,Amy Poehler,1,1,0,0,2015,Phyllis Smith,2,1,0,0,2015,Richard Kind,3,1,0,0,2015,Bill Hader,4,1,0,0,2015,Lewis Black,5,1,0,0,2015,Mindy Kaling,6,1,0,0
2016,Dave Franco,1.5,0,1,0,2016,Emma Roberts,3,0,1,0,2016,Emily Meade,4.5,0,1,0,2016,Kimiko Glenn,6,0,1,0,2016,Juliette Lewis,7.5,0,1,0,2016,Samira Wiley,9,0,1,0
2001,Elijah Wood,1,1,0,0,2001,Ian McKellen,2,1,0,0,2001,Viggo Mortensen,3,1,0,0,2001,Liv Tyler,4,1,0,0,2001,Orlando Bloom,5,1,0,0,2001,John Rhys-Davies,6,1,0,0
2016,Ellen DeGeneres,1,1,0,0,2016,Albert Brooks,2,1,0,0,2016,Diane Keaton,3,1,0,0,2016,Eugene Levy,4,1,0,0,2016,Ty Burrell,5,1,0,0,2016,Idris Elba,6,1,0,0
2012,Robert Downey Jr.,1,1,0,0,2012,Chris Evans,2,1,0,0,2012,Mark Ruffalo,3,1,0,0,2012,Chris Hemsworth,4,1,0,0,2012,Scarlett Johansson,5,1,0,0,2012,Jeremy Renner,6,1,0,0
2016,George Clooney,1.5,0,1,0,2016,Julia Roberts,3,0,1,0,2016,Jack O'Connell,4.5,0,1,0,2016,Caitriona Balfe,6,0,1,0,2016,Dominic West,7.5,0,1,0,2016,Lenny Venito,9,0,1,0
2016,Zac Efron,1.5,0,1,0,2016,Adam DeVine,3,0,1,0,2016,Anna Kendrick,4.5,0,1,0,2016,Aubrey Plaza,6,0,1,0,2016,Sam Richardson,7.5,0,1,0,2016,Stephen Root,9,0,1,0
2015,Samuel L. Jackson,1,1,0,0,2015,Kurt Russell,2,1,0,0,2015,Jennifer Jason Leigh,3,1,0,0,2015,Walton Goggins,4,1,0,0,2015,DemiÌÁn Bichir,5,1,0,0,2015,Tim Roth,6,1,0,0
2015,Helen Mirren,1.5,0,1,0,2015,Aaron Paul,3,0,1,0,2015,Alan Rickman,4.5,0,1,0,2015,Iain Glen,6,0,1,0,2015,Barkhad Abdi,7.5,0,1,0,2015,Phoebe Fox,9,0,1,0
2015,Liam Neeson,1,1,0,0,2015,Ed Harris,2,1,0,0,2015,Joel Kinnaman,3,1,0,0,2015,Boyd Holbrook,4,1,0,0,2015,Bruce McGill,5,1,0,0,2015,GÌ©nesis RodrÌ_guez,6,1,0,0
2015,Liam Neeson,1,1,0,0,2015,Forest Whitaker,2,1,0,0,2015,Famke Janssen,3,1,0,0,2015,Maggie Grace,4,1,0,0,2015,Dougray Scott,5,1,0,0,2015,Sam Spruell,6,1,0,0
