ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
217,100,14168,158720,744,4.9,37000,243843127,130000000,113843127,Profit
218,123,32392,465019,995,7,129000,531865000,200000000,331865000,Profit
219,92,15013,585659,593,8.1,0,562816256,115000000,447816256,Profit
220,108,3033,50056,152,6.3,0,32556119,15000000,17556119,Profit
221,129,1062,364948,2121,6.7,0,424988211,150000000,274988211,Profit
222,123,63769,115216,289,7,44000,99775678,53000000,46775678,Profit
223,130,64040,220758,919,4.6,13000,709827462,50000000,659827462,Profit
224,121,36010,130661,304,7.2,54000,194564672,35000000,159564672,Profit
225,129,22403,338635,412,7.5,39000,334615000,125000000,209615000,Profit
226,105,13118,403836,646,7.6,47000,482860185,93000000,389860185,Profit
227,186,9152,483540,951,7.9,83000,958400000,250000000,708400000,Profit
228,109,1769,305340,1676,6.4,0,4.35E+08,200000000,2.35E+08,Profit
229,115,1815,194249,253,6.9,0,660940780,80000000,580940780,Profit
230,90,21015,182718,209,7.3,20000,665692281,150000000,515692281,Profit
231,142,49942,701607,1959,7.3,140000,691210692,75000000,616210692,Profit
232,88,14823,270207,606,6.1,2000,441818803,140000000,301818803,Profit
233,119,31782,203154,698,6.5,45000,161025640,70000000,91025640,Profit
234,108,38072,551363,1140,8,106000,327803731,13000000,314803731,Profit
235,93,15192,172489,376,7.7,0,125212904,15000000,110212904,Profit
236,90,275,467113,945,7.9,0,484409218,60000000,424409218,Profit
237,117,17738,326494,340,8,65000,55198285,5000000,50198285,Profit
238,153,28489,451803,1225,7,56000,752215857,215000000,537215857,Profit
239,93,17925,85323,212,5.8,0,101702060,45000000,56702060,Profit
240,104,39175,600996,726,8.3,27000,83557872,10000000,73557872,Profit
241,126,2899,215255,610,7,0,2.80E+08,80000000,2.00E+08,Profit
242,125,62837,101178,779,6,90000,212902372,50000000,162902372,Profit
243,130,10247,107028,457,6,44000,90565421,60000000,30565421,Profit
244,104,21380,90938,271,6.5,0,114194847,12000000,102194847,Profit
245,88,28011,386217,553,7.7,26000,102391382,23600000,78791382,Profit
246,129,1450,94241,309,6.3,25000,140795793,35000000,105795793,Profit
247,100,18786,4654,46,6.7,18000,109387615,20000000,89387615,Profit
248,123,11930,242188,1426,6.1,0,546388105,125000000,421388105,Profit
249,98,16410,238671,461,6.3,63000,376141306,45000000,331141306,Profit
250,109,2753,63390,160,6.4,0,85512300,12000000,73512300,Profit
251,128,1058,195333,409,8.1,80000,88346473,20000000,68346473,Profit
252,161,727,427357,1736,8.3,24000,56715371,12000000,44715371,Profit
253,140,44042,520104,3286,7.6,10000,8.50E+08,113000000,7.37E+08,Profit
254,93,5005,273556,428,7.2,39000,538983207,185000000,353983207,Profit
255,100,11471,212167,713,7,0,64238440,15000000,49238440,Profit
256,114,2085,265818,213,6.9,0,351583407,23000000,328583407,Profit
257,93,16034,379462,571,7.5,56000,147332697,32000000,115332697,Profit
258,135,5811,326286,643,6.8,0,163712074,150000000,13712074,Profit
259,103,5497,47968,154,6.4,35000,150170815,58000000,92170815,Profit
260,145,16094,375240,542,8.1,0,117235147,1100000,116135147,Profit
261,108,17623,583341,626,7.8,24000,459270619,35000000,424270619,Profit
262,117,47728,537419,1028,8.2,35000,27739163,15000000,12739163,Profit
263,156,3244,211765,546,6.7,17000,310669540,200000000,110669540,Profit
264,167,2702,119928,331,7.9,76000,201634991,28000000,173634991,Profit
265,128,51609,277451,491,8,23000,235860116,16400000,219460116,Profit
266,123,23031,77394,195,7.4,24000,61181942,35000000,26181942,Profit
267,93,27834,117999,181,6.6,16000,51070807,40000000,11070807,Profit
268,127,12884,515306,477,8.3,0,474171806,48000000,426171806,Profit
269,99,28994,664719,931,8.4,19000,14661007,1200000,13461007,Profit
270,104,14863,235025,265,7.3,44000,743559607,200000000,543559607,Profit
271,119,22767,219008,418,7.9,0,76270454,25000000,51270454,Profit
272,92,5217,34359,133,6,16000,311594032,74000000,237594032,Profit
273,107,17540,704766,2073,8.1,14000,672806292,40000000,632806292,Profit
274,133,2538,169914,1185,6.1,0,431971116,140000000,291971116,Profit
275,145,12546,399651,1331,7.7,0,358372926,102000000,256372926,Profit
276,138,83012,358416,751,7.3,63000,251171807,40000000,211171807,Profit
277,123,34495,396396,1111,7.9,57000,115603229,29000000,86603229,Profit
278,130,16385,226570,448,7,38000,218340595,60000000,158340595,Profit
279,157,53413,385670,1896,7.6,0,895921036,150000000,745921036,Profit
280,135,12175,229823,504,6.7,31000,276572938,130000000,146572938,Profit
281,121,2880,190786,539,5.4,0,336529144,100000000,236529144,Profit
282,147,3924,656640,1732,8.1,13000,158733820,40000000,118733820,Profit
283,102,21584,343648,590,6.4,0,624029371,150000000,474029371,Profit
284,101,4451,272534,345,7.8,40000,471222889,165000000,306222889,Profit
285,157,2759,216032,640,7.4,39000,132820716,40000000,92820716,Profit
286,94,3552,23473,123,4.4,8000,107275897,30000000,77275897,Profit
287,82,21275,385871,515,7.9,0,485015179,90000000,395015179,Profit
288,108,19364,666937,1514,8.3,52000,72258126,20000000,52258126,Profit
