0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Fury (2014),Status Released,Original Language English,Runtime 2h 15m,"Budget $68,000,000.00","Revenue $211,817,906.00",Homepage -,Release Information,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal,Jim Parrack,Full Cast & Crew,
The Magnificent Seven (2016),Status Released,Original Language English,Runtime 2h 12m,Budget -,Revenue -,Homepage -,Release Information,Chris Pratt,Denzel Washington,Matt Bomer,Ethan Hawke,Vincent D'Onofrio,Lee Byung-hun,Full Cast & Crew,
All About Anna (2005),Status Released,Original Language English,Runtime 1h 31m,Budget -,Revenue -,Homepage http://www.puzzypower.dk/UK/index.php/all-about-anna,Release Information,Gry Bay,Adrian Bouchet,Eileen Daly,Thomas Raft,Ovidie,Thomas Lundy,Full Cast & Crew,
Independence Day: Resurgence (2016),Status Released,Original Language English,Runtime 2h 0m,"Budget $200,000,000.00","Revenue $143,093,317.00",Homepage http://www.warof1996.com,Release Information,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward,William Fichtner,Full Cast & Crew,
The Legend of Tarzan (2016),Status Released,Original Language English,Runtime 1h 49m,"Budget $180,000,000.00",Revenue -,Homepage http://legendoftarzan.com,Release Information,Alexander Skarsgård,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,Simon Russell Beale,Full Cast & Crew,
John Wick (2014),Status Released,Original Language English,Runtime 1h 41m,"Budget $20,000,000.00","Revenue $78,739,897.00",Homepage http://www.johnwickthemovie.com/,Release Information,Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,Dean Winters,Adrianne Palicki,Full Cast & Crew,
Avengers: Age of Ultron (2015),Status Released,Original Language English,Runtime 2h 21m,"Budget $250,000,000.00","Revenue $1,405,035,767.00",Homepage http://marvel.com/movies/movie/193/avengers_age_of_ultron,Release Information,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Full Cast & Crew,
Chappie (2015),Status Released,Original Language English,Runtime 2h 0m,"Budget $49,000,000.00","Revenue $102,069,268.00",Homepage http://www.chappie-movie.com,Release Information,Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo,Hugh Jackman,Full Cast & Crew,
Batman Begins (2005),Status Released,Original Language English,Runtime 2h 20m,"Budget $150,000,000.00","Revenue $374,218,673.00",Homepage http://www2.warnerbros.com/batmanbegins/index.html,Release Information,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Full Cast & Crew,
War Dogs (2016),Status Released,Original Language English,Runtime 1h 54m,Budget -,Revenue -,Homepage http://www.wardogsthemovie.com/,Release Information,Miles Teller,Jonah Hill,Ana de Armas,Barry Livingston,Brenda Koo,Jeff Pierre,Full Cast & Crew,
Emerald Green (2016),Original Title Smaragdgrün,Status Released,Original Language German,Runtime 1h 53m,Budget -,Revenue -,Homepage -,Release Information,Maria Ehrich,Jannis Niewöhner,Peter Simonischek,Josefine Preuß,Florian Bartholomäi,Laura Berlin,Full Cast & Crew
X-Men: Days of Future Past (2014),Status Released,Original Language English,Runtime 2h 11m,"Budget $250,000,000.00","Revenue $746,000,000.00",Homepage http://www.x-menmovies.com/,Release Information,Hugh Jackman,James McAvoy,Patrick Stewart,Michael Fassbender,Ian McKellen,Jennifer Lawrence,Full Cast & Crew,
The Hunger Games: Catching Fire (2013),Status Released,Original Language English,Runtime 2h 26m,"Budget $130,000,000.00","Revenue $847,423,452.00",Homepage http://www.thehungergames.movie/,Release Information,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Full Cast & Crew,
