Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
Something in the Air,IFC,"$85,154",10,"$13,288",3,5/3/2013
Something New,Focus,"$11,468,568","1,265","$4,879,736","1,265",2/3/2006
Something Short of Paradise,AIP,n/a,n/a,n/a,n/a,1979
Something Special,PEC,"$277,405",182,"$214,000",182,11/14/1986
Something to Cheer About,Truly,"$9,777",9,"$6,410",9,4/27/2007
Something to Talk About,WB,"$50,865,589","1,787","$11,115,697","1,510",8/4/1995
Something Wicked This Way Comes,BV,"$8,400,000",817,"$2,423,555",817,4/29/1983
Something Wild,Orion,"$8,362,969",916,"$1,825,717",914,11/7/1986
Something's Gotta Give,Sony,"$124,728,738","2,876","$16,064,723","2,677",12/12/2003
A Somewhat Gentle Man,Strand,"$37,743",3,"$2,506",1,1/14/2011
Somewhere,Focus,"$1,785,645",83,"$119,086",7,12/22/2010
Somewhere Between,Long Shot,"$210,975",6,"$7,799",1,8/24/2012
Somewhere in Sonora,Vit.,n/a,n/a,n/a,n/a,5/27/1933
Somewhere in Time,Uni.,"$9,709,597",n/a,"$1,203,011",369,10/3/1980
Somewhere Only We Know,CL,"$482,341",46,"$304,934",46,2/13/2015
Somm,Gold.,"$174,197",9,"$28,050",5,6/21/2013
Sommersby,WB,"$50,081,992","1,762","$8,104,624","1,432",2/5/1993
The Son,NYer,"$70,262",3,"$10,048",2,1/10/2003
Son Frere,Strand,"$22,834",2,"$6,802",1,4/2/2004
Son of Frankenstein,Uni.,n/a,n/a,n/a,n/a,1/13/1939
Son of Fury: The Story of Benjamin Blake,Fox,n/a,n/a,n/a,n/a,1/29/1942
Son of God,Fox,"$59,700,064","3,271","$25,601,865","3,260",2/28/2014
The Son of No One,Anch.,"$30,680",10,"$18,015",10,11/4/2011
Son of Rambow,ParV,"$1,785,505",155,"$53,789",5,5/2/2008
Son of Sardaar,Eros,"$771,789",109,"$341,552",109,11/13/2012
Son of Saul,SPC,"$1,777,043",180,"$37,930",3,12/18/2015
Son of the Bride,SPC,"$624,757",18,"$34,231",6,3/22/2002
Son of the Mask,NL,"$17,018,422","2,966","$7,511,675","2,966",2/18/2005
Son of the Pink Panther,MGM,"$2,438,031",983,"$1,129,689",983,8/27/1993
The Son's Room,Mira.,"$1,016,340",21,"$4,887",1,1/25/2002
Son-in-Law,BV,"$36,448,400","1,406","$7,033,310","1,389",7/2/1993
Sonatine,Roll.,"$58,834",6,"$17,527",2,4/10/1998
The Song,Gold.,"$1,009,620",340,"$568,596",340,9/26/2014
A Song for Martin,First,"$27,983",2,"$5,755",2,12/21/2001
Song of Love,MGM,n/a,n/a,n/a,n/a,10/9/1947
The Song of Sparrows,Reg.,"$116,372",5,"$7,863",1,4/3/2009
Song of the Sea,GK,"$857,522",48,"$21,910",2,12/19/2014
Song of the South (Re-issue),BV,"$17,659,346*","1,529","$4,203,111","1,505",11/21/1986
Song of the South (Re-issue) (1980),BV,"$19,800,000*",n/a,n/a,n/a,10/8/1980
Song of the Thin Man,MGM,n/a,n/a,n/a,n/a,8/28/1947
Song One,TFA,"$32,251",27,"$20,200",27,1/23/2015
Songcatcher,Lions,"$3,059,834",104,"$41,967",7,6/15/2001
Songs from the Second Floor,NYer,"$80,334",2,"$10,307",1,8/17/2001
Songs My Brothers Taught Me,KL,"$34,793",5,"$3,430",1,3/2/2016
Songwriter,TriS,"$865,915",499,"$497,406",499,10/12/1984
Sonny,GldC,"$30,005",6,"$17,639",6,12/27/2002
The Sons of Katie Elder,Par.,n/a,n/a,n/a,n/a,7/1/1965
Sons of Provo,Hale,"$120,488",8,"$25,354",7,2/4/2005
The Sons of Tennessee Williams,FRun,"$3,242",1,"$1,492",1,10/7/2011
Sophie Scholl - The Final Days,Zeit.,"$680,331",28,"$17,310",1,2/17/2006
Sophie's Choice,Uni.,"$30,036,000",548,"$202,131",9,12/10/1982
Sophomore,N/A,"$18,945",1,"$13,097",1,1/13/2012
Sorcerer,Uni.,n/a,n/a,n/a,n/a,6/24/1977
The Sorcerer and the White Snake,Magn.,"$18,759",4,"$5,530",1,2/8/2013
The Sorcerer's Apprentice,BV,"$63,150,991","3,504","$17,619,622","3,504",7/14/2010
Sordid Lives,Reg.,"$1,111,273",8,"$14,000",7,5/11/2001
Sorority Boys,BV,"$10,200,032","1,801","$4,127,903","1,801",3/22/2002
Sorority Girls' Revenge,Ibex,$582,n/a,n/a,n/a,9/21/2001
Sorority Row,Sum.,"$11,965,282","2,665","$5,059,802","2,665",9/11/2009
"Sorry, Haters",IFC,"$7,129",6,"$2,207",1,3/1/2006
Soul Food,Fox,"$43,700,855","1,350","$11,197,897","1,336",9/26/1997
Soul in the Hole,N/A,"$30,697",6,n/a,n/a,8/8/1997
Soul Kitchen,IFC,"$276,901",23,"$20,916",2,8/20/2010
Soul Man,NW,"$27,820,000","1,320","$4,422,179","1,282",10/24/1986
Soul Men,MGM/W,"$12,082,391","2,048","$5,401,605","2,044",11/7/2008
Soul Plane,MGM,"$14,190,750","1,566","$5,648,486","1,566",5/28/2004
Soul Power,SPC,"$207,121",23,"$23,893",6,7/10/2009
Soul Surfer,TriS,"$43,853,424","2,240","$10,601,862","2,214",4/8/2011
Soul Survivors,Art.,"$3,111,545",604,"$1,140,698",601,9/7/2001
Souldier,PDF,"$1,500",2,$900,2,2/21/2014
Sound and Fury,AL,"$114,882",6,"$7,104",2,10/25/2000
Sound City,Vari.,"$422,853",50,"$62,842",16,2/1/2013
The Sound of Music,Fox,"$158,671,368",n/a,n/a,n/a,3/2/1965
Sound of My Voice,FoxS,"$408,015",48,"$36,134",5,4/27/2012
Sound of Noise,Magn.,"$24,565",5,"$5,877",3,3/9/2012
A Sound of Thunder,WB,"$1,900,451",816,"$917,398",816,9/2/2005
Sour Grapes,Sony,"$123,104",28,"$123,104",28,4/17/1998
The Source,Wells,"$362,649",n/a,n/a,n/a,8/25/1999
Source Code,Sum.,"$54,712,227","2,971","$14,812,094","2,961",4/1/2011
South Central,WB,"$1,373,196",37,"$147,629",37,9/18/1992
"South of Heaven, West of Hell",BSR,"$28,149",9,"$16,666",9,6/15/2001
South of the Border,Libre,"$198,600",12,"$21,545",1,6/25/2010
South Pacific,Fox,n/a,n/a,n/a,n/a,3/19/1958
"South Park - Bigger, Longer and Uncut",Par.,"$52,037,603","2,128","$11,335,889","2,128",6/30/1999
Southbound,Orch.,"$23,665",25,"$6,250",4,2/5/2016
Southern Baptist Sissies,TFC,"$30,160",3,"$5,200",1,2/21/2014
Southie,Lions,"$52,819",2,"$16,860",2,5/28/1999
Southland Tales,Gold.,"$275,380",63,"$123,428",63,11/14/2007
Southpaw,Wein.,"$52,421,953","2,772","$16,701,294","2,772",7/24/2015
Southpaw: The Francis Barrett Story,Shoot.,"$28,365",19,"$21,381",19,4/7/2000
Southside with You,RAtt.,"$6,106,842",897,"$2,868,403",813,8/26/2016
SPA Animated Franchise (2019),Sony,n/a,n/a,n/a,n/a,7/26/2019
SPA Animated Franchise (2020),Sony,n/a,n/a,n/a,n/a,4/3/2020
SPA Animated Franchise II (2019),Sony,n/a,n/a,n/a,n/a,12/25/2019
SPA Animated Franchise II (2020),Sony,n/a,n/a,n/a,n/a,9/25/2020
SPA Animated Original (2020),Sony,n/a,n/a,n/a,n/a,12/11/2020
Spa Night,Strand,"$34,849",2,"$7,056",1,8/19/2016
The Space Between Us,STX,n/a,n/a,n/a,n/a,12/16/2016
Space Camp,Fox,"$9,697,739","1,024","$2,918,072",979,6/6/1986
Space Chimps,Fox,"$30,105,968","2,538","$7,181,374","2,511",7/18/2008
Space Cowboys,WB,"$90,464,773","2,835","$18,093,776","2,805",8/4/2000
Space Dogs 3D,EpicPics,"$14,408",5,"$14,408",5,5/18/2012
Space Dogs: Adventure To The Moon,EpicPics,n/a,n/a,n/a,n/a,2016
Space Jam,WB,"$90,418,342","2,650","$27,528,529","2,650",11/15/1996
A Space Program,Zeit.,"$13,739",1,"$10,247",1,3/18/2016
Space Rage,Gar.,"$7,689",n/a,n/a,n/a,11/21/1986
Space Station 3-D (IMAX),Imax,"$93,215,907",64,"$489,488",24,4/19/2002
Spaceballs,MGM,"$38,119,483","1,389","$6,613,837","1,384",6/26/1987
Spaced Invaders,BV,"$15,369,573","1,845","$4,474,336","1,821",4/27/1990
Spacehunter: Adventures in the Forbidden Zone,Col.,"$16,478,265","1,344","$7,053,016","1,338",5/20/1983
Spanglish,Sony,"$42,726,869","2,587","$8,817,853","2,438",12/17/2004
Spanish Fly,Mira.,"$15,503",n/a,n/a,n/a,12/1/1999
The Spanish Prisoner,SPC,"$9,584,314",296,"$124,011",7,4/3/1998
Spanking the Monkey,FL,"$1,359,736",37,"$35,396",3,7/15/1994
Spare Parts,LGF,"$3,618,912",440,"$1,335,768",440,1/16/2015
Spark: A Burning Man Story,P/FB,"$120,459",8,"$9,366",2,8/16/2013
Sparkle,WB,n/a,n/a,n/a,n/a,4/7/1976
Sparkle (2012),TriS,"$24,397,469","2,244","$11,643,342","2,244",8/17/2012
Sparkler,Strand,"$7,326",1,"$1,370",1,3/19/1999
Sparrow's Dance,Trib.,"$2,602",1,n/a,n/a,8/23/2013
Spartacus,Uni.,n/a*,n/a,n/a,n/a,10/8/1960
Spartacus (re-issue),Uni.,"$1,830,650*",52,"$92,162",4,4/26/1991
Spartan,WB,"$4,434,432",832,"$2,011,435",832,3/12/2004
Spawn,NL,"$54,870,175","2,604","$19,738,749","2,536",8/1/1997
Speaking in Strings,7Art,"$6,859",2,"$1,519",1,9/10/1999
Speaking Parts,Zeit.,"$76,609",1,"$8,934",1,2/16/1990
Special,Magn.,"$7,202",1,"$3,232",1,11/21/2008
Special Forces,EOne,"$10,759",5,"$10,759",5,10/12/2012
Special ID,WGUSA,"$12,666",10,"$6,153",10,3/7/2014
Special Treatment,FRun,"$8,856",1,$678,1,8/26/2011
The Specialist,WB,"$57,362,582","2,522","$14,317,765","2,522",10/7/1994
The Specials,Reg.,"$13,276",2,n/a,n/a,9/22/2000
Species,MGM,"$60,074,103","2,310","$17,161,943","2,310",7/7/1995
Species II,MGM,"$19,221,939","2,510","$7,274,008","2,510",4/10/1998
The Spectacular Now,A24,"$6,854,611",770,"$197,415",4,8/2/2013
Spectral,Uni.,n/a,n/a,n/a,n/a,TBD
Spectre,Sony,"$200,074,609","3,929","$70,403,148","3,929",11/6/2015
Speechless,MGM,"$20,667,959","1,404","$3,969,048","1,404",12/16/1994
Speed,Fox,"$121,248,145","2,169","$14,456,194","2,138",6/10/1994
Speed 2: Cruise Control,Fox,"$48,608,066","2,625","$16,158,942","2,615",6/13/1997
Speed Racer,WB,"$43,945,766","3,606","$18,561,337","3,606",5/9/2008
Speed Zone,Orion,"$3,077,361","1,195","$1,475,494","1,195",4/21/1989
Speed-Dating,RR,"$5,240",1,"$3,394",1,6/4/2010
Speedway Junky,Reg.,"$17,246",1,"$6,900",1,8/31/2001
Spellbinder,MGM,"$657,446",326,"$657,446",326,9/23/1988
Spellbound,UA,n/a,n/a,n/a,n/a,10/31/1945
Spellbound (2003),Think,"$5,728,581",117,"$17,508",1,4/30/2003
Spencer's Mountain,WB,n/a,n/a,n/a,n/a,5/16/1963
Sphere,WB,"$37,020,277","2,814","$14,433,957","2,814",2/13/1998
Sphinx,WB,"$2,022,771",n/a,"$439,564",214,2/13/1981
Spice World,Sony,"$29,342,592","2,339","$10,527,222","2,339",1/23/1998
Spider,SPC,"$1,642,483",54,"$5,575",1,12/20/2002
Spider-Man,Sony,"$403,706,375","3,876","$114,844,116","3,615",5/3/2002
Spider-Man / Men in Black II,Sony,"$6,632,970","2,078","$2,111,862","2,078",9/6/2002
Spider-Man 2,Sony,"$373,585,825","4,166","$88,156,227","4,152",6/30/2004
Spider-Man 3,Sony,"$336,530,303","4,324","$151,116,516","4,252",5/4/2007
Spider-Man: Homecoming,Sony,n/a,n/a,n/a,n/a,7/7/2017
Spiders (2013),MNE,n/a,n/a,n/a,n/a,2/8/2013
The Spiderwick Chronicles,Par.,"$71,195,053","3,847","$19,004,058","3,847",2/14/2008
Spies Like Us,WB,"$60,088,980","1,700","$8,614,039","1,556",12/6/1985
Spike & Mike's Animation Festival,Mell.,"$1,268,529",n/a,n/a,n/a,9/16/1992
Spike of Bensonhurst,FDal,"$623,112",n/a,n/a,n/a,11/11/1988
Spin (2004),Inn.,"$12,355",9,"$9,858",9,10/15/2004
Spin (2009),Blow.,n/a,n/a,n/a,n/a,TBD
Spinning Into Butter,Scre.,"$8,064",4,"$5,534",4,3/27/2009
Spinning Plates,TFA,"$112,449",6,"$20,717",3,10/25/2013
Spiral,Anch.,"$3,072",n/a,n/a,n/a,2/8/2008
The Spirit,LGF,"$19,806,188","2,509","$6,463,278","2,509",12/25/2008
The Spirit of '76,Col.,"$52,310",12,n/a,n/a,10/12/1990
The Spirit of St. Louis,WB,n/a,n/a,n/a,n/a,4/20/1957
Spirit: Stallion of the Cimarron,DW,"$73,280,117","3,362","$17,770,036","3,317",5/24/2002
Spirited Away,BV,"$10,055,859",714,"$449,839",26,9/20/2002
Spirits' Homecoming,PM&E,"$125,616",17,"$10,012",2,3/11/2016
Spitfire,RKO,n/a,n/a,n/a,n/a,3/30/1934
The Spitfire Grill,Sony,"$12,658,486","1,247","$150,049",17,8/23/1996
Splash,BV,"$69,821,334","1,186","$6,174,059",829,3/9/1984
Splice,WB,"$17,010,170","2,450","$7,385,277","2,450",6/4/2010
Splinter (2007),Magic,"$10,497",3,"$10,497",3,8/17/2007
Splinter (2008),Magn.,"$14,154",4,"$9,517",4,10/31/2008
Splinterheads,Pala.,"$16,392",3,"$10,515",1,11/6/2009
Split,Uni.,n/a,n/a,n/a,n/a,1/20/2017
Split Decisions,NCeV,"$695,822",405,"$423,303",405,11/11/1988
Split Image,Orion,"$263,635",n/a,n/a,n/a,10/1/1982
Split Second,Istr,"$5,430,822","1,085","$2,250,000","1,085",5/1/1992
Split: A Deeper Divide,FPR,"$2,338",1,"$2,338",1,10/12/2012
Splitting Heirs,Uni.,"$3,246,063",850,"$1,738,315",850,4/30/1993
The Spoilers,Uni.,n/a,n/a,n/a,n/a,5/8/1942
Spoken Word,Vari.,"$32,961",4,"$2,343",1,7/23/2010
The SpongeBob Movie: Sponge Out of Water,Par.,"$162,994,032","3,680","$55,365,012","3,641",2/6/2015
SpongeBob SquarePants 3,Par.,n/a,n/a,n/a,n/a,2/8/2019
The SpongeBob SquarePants Movie,Par.,"$85,417,988","3,307","$32,018,216","3,212",11/19/2004
Spontaneous Combustion,Tau,"$50,367",50,"$50,367",50,2/23/1990
Spookies,SVS,"$17,785",n/a,n/a,n/a,1/9/1987
Spooks: The Greater Good,N/A,n/a,n/a,n/a,n/a,TBD
Spooky House,Ent.H,"$65,238*",28,"$22,677",28,4/19/2002
Spooky House (Re-issue),Ent.H,$637*,4,$363,4,5/27/2005
Spotlight,ORF,"$45,055,776","1,227","$295,009",5,11/6/2015
Spread,Anch.,"$250,618",103,"$122,948",103,8/14/2009
Spriggan,ADV,"$25,824",5,"$7,420",5,10/12/2001
Spring (2015),Drft.,"$49,970",15,"$19,675",12,3/20/2015
Spring Break,Col.,"$24,071,666","1,531","$5,908,574","1,493",3/25/1983
Spring Breakdown,WB,n/a,n/a,n/a,n/a,N/A
Spring Breakers,A24,"$14,124,284","1,379","$263,002",3,3/15/2013
Spring Fever,Strand,"$10,824",2,$854,1,6/4/2010
Spring Forward,IFC,"$117,471",2,"$6,269",2,12/8/2000
"Spring, Summer, Fall, Winter... and Spring",SPC,"$2,380,788",74,"$42,561",6,4/2/2004
Springfield Rifle,WB,n/a,n/a,n/a,n/a,10/22/1952
Springtime in a Small Town,Palm,"$43,017",2,"$7,506",2,5/14/2004
Sprung,Trim.,"$7,575,028",780,"$2,487,702",780,5/16/1997
Spun,NM,"$411,119",24,"$15,160",1,3/14/2003
Sputnik Mania,Bal.,"$11,441",1,"$6,223",1,3/14/2008
Spy,Fox,"$110,825,712","3,715","$29,085,719","3,711",6/5/2015
Spy Game,Uni.,"$62,362,560","2,770","$21,689,125","2,770",11/21/2001
Spy Hard,BV,"$26,960,191","2,319","$10,448,420","2,286",5/24/1996
Spy Kids,Mira.,"$112,719,001","3,191","$26,546,881","3,104",3/30/2001
Spy Kids 2: The Island of Lost Dreams,Dim.,"$85,846,429","3,307","$16,711,716","3,307",8/7/2002
Spy Kids 3D: Game Over,Dim.,"$111,761,982","3,388","$33,417,739","3,344",7/25/2003
Spy Kids: All the Time in the World,W/Dim.,"$38,538,188","3,305","$11,644,672","3,295",8/19/2011
The Spy Next Door,LGF,"$24,307,086","2,924","$9,726,056","2,924",1/15/2010
The Spy Who Loved Me,UA,"$46,838,673",n/a,n/a,200,7/13/1977
Squanto: A Warrior's Tale,BV,"$3,342,223","1,022","$1,119,016","1,022",10/28/1994
The Square,App.,"$406,116",24,"$17,092",2,4/9/2010
The Square (2013),Nou,"$124,244",9,"$16,359",1,10/25/2013
Square Dance,Isld,"$225,358",n/a,n/a,n/a,2/20/1987
The Squeeze,TriS,"$2,228,951","1,152","$1,380,800","1,152",7/10/1987
The Squid and the Whale,IDP,"$7,372,734",151,"$129,844",4,10/5/2005
St. Elmo's Fire,Col.,"$37,803,872","1,207","$6,128,157","1,204",6/28/1985
St. Vincent,Wein.,"$44,137,712","2,552","$109,878",4,10/10/2014
Stacy's Knights,Crwn,n/a,n/a,n/a,n/a,Jun 1983
Stage Beauty,Lions,"$782,383",78,"$38,654",3,10/8/2004
Stage Door,RKO,n/a,n/a,n/a,n/a,10/8/1937
Stage Fright,WB,n/a,n/a,n/a,n/a,4/15/1950
Stage Fright (2014),Magn.,"$7,078",11,"$3,562",11,5/9/2014
Stagecoach,UA,n/a,n/a,n/a,n/a,3/2/1939
Stake Land,IFC,"$33,245",5,"$7,258",1,4/22/2011
Stakeout,BV,"$65,673,233","1,364","$5,170,403",951,8/7/1987
Stalag 17,Par.,n/a,n/a,n/a,n/a,7/1/1953
Stalingrad,Strand,"$152,972",2,"$10,882",1,5/24/1995
Stalingrad (2014),Sony,"$1,013,945",308,"$510,846",308,2/28/2014
Stand and Deliver,WB,"$13,994,920",472,"$411,884",30,3/11/1988
Stand by Me,Col.,"$52,287,414",848,"$242,795",16,8/8/1986
Stand Clear of the Closing Doors,Osci.,"$17,282",3,"$7,000",1,5/23/2014
Stand Up and Cheer!,Fox,n/a,n/a,n/a,n/a,5/4/1934
Stand Up Guys,LGF,"$3,310,031",670,"$1,486,390",659,2/1/2013
Stand Your Ground,S/IMA,n/a,14,n/a,14,1/17/2014
Standard Operating Procedure,SPC,"$229,117",21,"$14,108",2,4/25/2008
Stander,NM,"$31,651",7,"$19,067",7,8/6/2004
Standing by Yourself,Cheap,"$2,500",1,"$2,200",1,5/17/2002
Standing in the Shadows of Motown,Art.,"$1,722,119",59,"$114,442",23,11/15/2002
Standing Ovation,RM,"$531,806",625,"$343,125",623,7/16/2010
Standing Still,Free,"$30,142",15,"$12,762",15,4/21/2006
Standing Tall (La tete haute),Cohen,"$26,144",6,"$7,488",2,4/1/2016
The Stanford Prison Experiment,IFC,"$660,561",79,"$37,514",2,7/17/2015
Stanley & Iris,MGM,"$5,820,015",907,"$2,102,831",907,2/9/1990
The Star,Sony,n/a,n/a,n/a,n/a,11/10/2017
Star 80,WB,"$6,472,990",502,"$412,566",94,11/11/1983
The Star Chamber,Fox,"$5,555,305",796,"$1,980,105",796,8/5/1983
Star Crossed,Indic.,"$5,035",2,"$2,826",2,5/13/2016
A Star Is Born,WB,"$4,335,968",n/a,n/a,n/a,9/29/1954
A Star Is Born (1976),WB,"$80,000,000",n/a,n/a,n/a,12/19/1976
Star Kid,Trim.,"$7,029,025","1,053","$2,958,768","1,041",1/16/1998
The Star Maker,Mira.,"$371,674",29,"$40,915",11,3/8/1996
Star Maps,FoxS,"$661,465",39,n/a,n/a,7/23/1997
Star Trek,Par.,"$257,730,019","4,053","$75,204,289","3,849",5/8/2009
Star Trek Beyond,Par.,"$157,097,686","3,928","$59,253,211","3,928",7/22/2016
Star Trek II: The Wrath of Khan,Par.,"$78,912,963","1,621","$14,347,221","1,621",6/4/1982
Star Trek III: The Search for Spock,Par.,"$76,471,046","1,966","$16,673,295","1,966",6/1/1984
Star Trek Into Darkness,Par.,"$228,778,661","3,907","$70,165,559","3,868",5/16/2013
Star Trek IV: The Voyage Home,Par.,"$109,713,132","1,956","$16,881,888","1,349",11/26/1986
Star Trek V: The Final Frontier,Par.,"$52,210,049","2,202","$17,375,648","2,202",6/9/1989
Star Trek VI: The Undiscovered Country,Par.,"$74,888,996","2,147","$18,162,837","1,804",12/6/1991
Star Trek: First Contact,Par.,"$92,027,888","2,812","$30,716,131","2,812",11/22/1996
Star Trek: Generations,Par.,"$75,671,125","2,681","$23,116,394","2,659",11/18/1994
Star Trek: Insurrection,Par.,"$70,187,658","2,677","$22,052,836","2,620",12/11/1998
Star Trek: Nemesis,Par.,"$43,254,409","2,711","$18,513,305","2,711",12/13/2002
Star Trek: The Motion Picture,Par.,"$82,258,456","1,002","$11,926,421",857,12/7/1979
Star Wars,Fox,"$307,263,857*","1,750","$1,554,475",43,5/25/1977
Star Wars (Re-issue),Fox,"$15,476,285*","1,070","$3,766,803","1,070",8/13/1982
Star Wars (Special Edition),Fox,"$138,257,865*","2,375","$35,906,661","2,104",1/31/1997
Star Wars: Episode I - The Phantom Menace,Fox,"$431,088,295*","3,126","$64,820,970","2,970",5/19/1999
Star Wars: Episode I - The Phantom Menace (in 3D),Fox,"$43,456,382*","2,655","$22,469,932","2,655",2/10/2012
Star Wars: Episode II - Attack of the Clones,Fox,"$302,191,252*","3,161","$80,027,814","3,161",5/16/2002
Star Wars: Episode II - Attack of the Clones (3D),Fox,n/a*,n/a,n/a,n/a,TBD
Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577*","3,663","$108,435,841","3,661",5/19/2005
Star Wars: Episode III - Revenge of the Sith (3D),Fox,n/a*,n/a,n/a,n/a,TBD
Star Wars: Episode VIII,BV,n/a,n/a,n/a,n/a,12/15/2017
Star Wars: The Clone Wars,WB,"$35,161,554","3,452","$14,611,273","3,452",8/15/2008
Star Wars: The Force Awakens,BV,"$936,662,225","4,134","$247,966,675","4,134",12/18/2015
Starbuck (U.S. only),E1,"$340,058",32,"$15,530",3,3/22/2013
Starchaser: The Legend of Orin,Atl,"$3,360,800","1,020","$1,614,660","1,020",11/22/1985
Stardom,Lions,"$10,886",10,n/a,n/a,10/27/2000
Stardust,Par.,"$38,634,938","2,565","$9,169,779","2,540",8/10/2007
Stardust Memories,UA,"$10,389,003",n/a,"$326,779",29,9/26/1980
Stargate,MGM,"$71,567,262","2,033","$16,651,018","2,033",10/28/1994
Starlet,MBox,"$88,212",10,"$15,662",6,11/9/2012
Starman,Col.,"$28,744,356","1,271","$2,872,022","1,261",12/14/1984
Starred Up,Trib.,"$54,915",7,"$10,358",2,8/27/2014
Starry Starry Night,CL,"$10,033",2,"$2,312",2,3/23/2012
The Stars Fell on Henrietta,WB,"$99,318",17,"$16,406",3,9/15/1995
Starship Troopers,Sony,"$54,814,377","2,971","$22,058,773","2,971",11/7/1997
Starsky and Hutch,WB,"$88,237,754","3,185","$28,103,367","3,185",3/5/2004
Starter for 10,PicH,"$216,839",32,"$37,141",20,2/23/2007
Starting Out in the Evening,RAtt.,"$898,786",43,"$76,214",7,11/23/2007
Starting Over,Par.,"$35,649,012",n/a,n/a,n/a,10/5/1979
Startup.com,Art.,"$1,283,356",35,"$16,118",1,5/11/2001
The Starving Games,KE,n/a,10,n/a,10,11/8/2013
State 194,Part.,n/a,n/a,n/a,n/a,5/17/2013
State and Main,FL,"$6,944,471",462,"$580,163",72,12/22/2000
State Fair (1945),Fox,n/a,n/a,n/a,n/a,8/30/1945
State Fair (1962),Fox,n/a,n/a,n/a,n/a,3/9/1962
State of Fear,Skyl.,"$20,055",1,"$16,075",1,1/11/2006
State of Grace,Orion,"$1,911,542",335,"$179,927",14,9/14/1990
A State of Mind,Kino,"$41,468",5,"$5,515",1,8/10/2005
State of Play,Uni.,"$37,017,955","2,807","$14,071,280","2,803",4/17/2009
State of the Union,MGM,n/a,n/a,n/a,n/a,4/30/1948
State Park,Atl,$421,n/a,n/a,n/a,4/22/1988
State Property,Lions,"$2,106,838",75,"$452,028",61,1/18/2002
State Property 2,Lions,"$1,691,706",202,"$756,905",202,4/13/2005
The Statement,SPC,"$765,637",51,"$37,220",7,12/12/2003
Stateside,IDP,"$174,318",156,"$113,620",156,5/21/2004
The Station Agent,Mira.,"$5,739,376",198,"$57,785",3,10/3/2003
Station Nord,Equin.,"$171,400",46,"$42,433",46,11/8/2002
Station to Station,SD,"$9,000",1,"$9,000",1,8/21/2015
Stations of the Cross,FM,"$1,505",1,$688,1,7/10/2015
Stations of the Elevated,APD/C,"$28,516",1,"$9,423",1,10/17/2014
Stay,Fox,"$3,626,883","1,684","$2,188,199","1,684",10/21/2005
Stay Alive,BV,"$23,086,480","2,009","$10,726,406","2,009",3/24/2006
Stay Hungry,UA,n/a,n/a,n/a,n/a,4/23/1976
Stay Tuned,WB,"$10,736,401","1,605","$3,532,540","1,605",8/14/1992
Staying Alive,Par.,"$64,892,670","1,747","$12,146,143","1,660",7/15/1983
Staying Together,Hemd,"$4,348,025","1,045","$2,020,777","1,045",11/10/1989
Steak (R)evolution,KL,"$8,025",7,n/a,n/a,7/17/2015
Steal (a.k.a. Riders),All.,"$220,944",125,"$123,087",125,4/25/2003
Steal a Pencil for Me,7Art,"$18,918",2,"$11,179",2,11/9/2007
"Steal Big, Steal Little",Sav.,"$3,150,170","1,080","$1,761,890","1,080",9/29/1995
Steal Me,Cnv.,"$1,967",1,"$1,600",1,9/9/2005
Steal This Movie,Lions,"$76,424",n/a,n/a,n/a,8/18/2000
Stealing America: Vote by Vote,Drct.,"$8,350",3,"$2,944",1,8/1/2008
Stealing Beauty,FoxS,"$4,722,310",195,"$103,028",3,6/14/1996
Stealing Harvard,SonR,"$14,036,406","2,366","$6,041,521","2,366",9/13/2002
Stealing Home,WB,"$7,467,504",985,"$2,346,864",984,8/26/1988
Stealing the Fire,Frie.,"$2,139",1,"$1,053",1,10/16/2002
Stealth,Sony,"$32,116,746","3,495","$13,251,545","3,495",7/29/2005
Steam: Turkish Bath,Strand,"$384,793",6,"$32,082",6,11/27/1998
Steamboy,Triu,"$468,867",46,"$136,148",39,3/18/2005
Steel,WB,"$1,710,972","1,260","$870,068","1,260",8/15/1997
Steel City,Truly,"$10,227",3,$817,1,5/25/2007
Steel Dawn,Vest,"$562,187",290,"$311,892",290,11/6/1987
Steel Magnolias,TriS,"$83,759,091","1,372","$5,425,440",480,11/17/1989
Steele Justice,Atl,"$1,327,740",n/a,n/a,n/a,5/8/1987
Steelyard Blues,WB,n/a,n/a,n/a,n/a,1/31/1973
Steep,SPC,"$260,586",23,"$21,189",17,12/21/2007
Steeper and Deeper,WM,"$1,076,685",n/a,n/a,n/a,10/1/1992
Stella,BV,"$20,240,128","1,393","$4,311,656","1,033",2/2/1990
Stella Dallas,UA,n/a,n/a,n/a,n/a,8/6/1937
Stella Does Tricks,Strand,"$4,224",1,"$2,361",1,1/28/2000
Stella Street,Strand,"$4,119",10,"$2,574",10,10/22/2004
Step Brothers,Sony,"$100,468,793","3,182","$30,940,732","3,094",7/25/2008
Step Into Liquid,Art.,"$3,681,803",91,"$135,985",5,8/8/2003
"Step Lively, Jeeves!",Fox,n/a,n/a,n/a,n/a,8/1/1937
Step Up,BV,"$65,328,121","2,647","$20,659,573","2,467",8/11/2006
Step Up 2 the Streets,BV,"$58,017,783","2,528","$18,908,826","2,470",2/14/2008
Step Up 3-D,BV,"$42,400,223","2,439","$15,812,311","2,435",8/6/2010
