Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
"3,2,1... Frankie Go Boom",Vari.,n/a,12,n/a,12,10/12/2012
3-Iron,SPC,"$241,914",31,"$20,084",7,4/29/2005
30 Beats,RAtt.,"$14,693",15,"$8,624",15,7/20/2012
30 Days of Night,Sony,"$39,568,996","2,859","$15,951,902","2,855",10/19/2007
30 Minutes or Less,Sony,"$37,053,924","2,888","$13,330,118","2,888",8/12/2011
30 Years to Life,Inn.,"$103,540",6,"$3,376",1,6/7/2002
300,WB,"$210,614,939","3,280","$70,885,301","3,103",3/9/2007
The 300 Spartans,Fox,n/a,n/a,n/a,n/a,Aug 1962
3000 Miles to Graceland,WB,"$15,749,959","2,545","$7,160,521","2,545",2/23/2001
300: Rise of An Empire,WB,"$106,580,051","3,490","$45,038,460","3,470",3/7/2014
31,Alc,n/a,n/a,n/a,n/a,9/1/2016
The 33,WB,"$12,227,722","2,452","$5,787,266","2,452",11/13/2015
35 and Ticking,Imag.,"$113,794",6,"$29,808",6,5/20/2011
35 Shots of Rum,CGld,"$177,511",5,"$9,576",1,9/16/2009
35 Up,Gold.,"$922,872",21,"$13,690",1,1/15/1992
36 Hours,MGM,n/a,n/a,n/a,n/a,1/28/1965
36 Saints,AFP,"$11,640",9,"$7,373",9,9/6/2013
360,Magn.,"$100,343",12,"$12,186",2,8/3/2012
39 Pounds of Love,Bal.,"$28,195",8,"$4,217",1,11/23/2005
The 39 Steps,Gaum.,n/a,n/a,n/a,n/a,8/1/1935
3:10 to Yuma (1957),Col.,n/a,n/a,n/a,n/a,8/7/1957
3:10 to Yuma (2007),LGF,"$53,606,916","3,006","$14,035,033","2,652",9/7/2007
The 3rd Animation Celebration,EXPe,"$1,289,551",n/a,n/a,n/a,12/21/1990
4,Leis.,"$20,523",1,"$5,815",1,4/7/2006
4 Little Girls,GV,"$130,146",4,"$13,528",1,7/9/1997
"4 Months, 3 Weeks, 2 Days",IFC,"$1,198,208",47,"$51,712",2,1/25/2008
40 Days and 40 Nights,Mira.,"$37,950,822","2,399","$12,229,529","2,225",3/1/2002
The 40-Year-Old Virgin,Uni.,"$109,449,237","3,006","$21,422,815","2,845",8/19/2005
The 400 Blows,ZIF,n/a,n/a,n/a,n/a,11/16/1959
42,WB,"$95,020,213","3,405","$27,487,144","3,003",4/12/2013
42 Up,FRun,"$300,880",5,"$11,599",1,11/17/1999
42nd Street,WB,n/a,n/a,n/a,n/a,3/9/1933
44 Inch Chest,Imag.,"$39,033",5,"$4,185",1,1/15/2010
45 Years,IFC,"$4,247,285",251,"$65,775",3,12/23/2015
45365,7Arts,$853,1,$107,1,2/26/2010
47 Ronin,Uni.,"$38,362,475","2,690","$9,910,310","2,689",12/25/2013
48 HRS.,Par.,"$78,868,508","1,050","$4,369,868",850,12/10/1982
49 Up,FRun,"$241,772",21,"$53,277",21,10/6/2006
49th Parallel,Col.,n/a,n/a,n/a,n/a,3/5/1942
4:44: Last Day on Earth,IFC,"$17,801",3,"$8,355",3,3/23/2012
