studio,genres,num_voted_users,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes,Type,Year,Runtime,Budget,budget.diff,Revenue,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6
Par.,Action,395573,1171,7.8,2.35,92000,PG13,2013,132,190000000,145795466.7,467365246,2,4,2,2,2,2
WB,Action,392474,1229,7.7,2.35,18000,R,2009,162,130000000,89698754.96,185258983,3,2,2,4,2,4
TriS,Action,531737,1262,8,1.85,22000,R,2009,112,30000000,-10301245.04,210819611,1,3,4,3,5,5
WB,Action,225273,523,6.2,2.35,71000,R,2014,102,110000000,68357932.39,337580051,4,2,2,4,4,2
Sony,Action,383056,1902,6.2,2.35,0,PG13,2007,139,258000000,218615497.1,890871626,2,2,2,2,4,2
WBNL,Adventure,637246,1367,7.9,2.35,166000,PG13,2012,169,250000000,207417764.9,1017003568,4,2,4,2,2,2
Fox,Biography,75329,256,6.6,1.85,24000,PG13,2015,124,60000000,17822828.3,101134059,2,2,2,2,3,3
Par.,Action,522371,723,7,2.35,18000,PG13,2010,124,200000000,156576254.6,623933331,2,2,2,2,2,2
Fox,Action,110486,695,4.3,2.35,41000,PG13,2015,100,120000001,77822829.3,167977596,2,3,2,4,2,4
SGem,Action,208092,806,7,2.35,0,R,2003,121,22000000,-22059891.96,95708457,2,2,1,4,4,5
WB,Adventure,320284,1361,6.7,1.85,0,PG,2005,115,150000000,109231497.3,474968763,2,4,4,2,4,2
BV,Action,479166,815,8,2.35,0,PG,2004,115,92000000,48641175.81,631442092,4,3,2,4,4,4
Wein.,Drama,955174,1193,8.5,2.35,199000,R,2012,165,100000000,57417764.86,425368238,2,3,2,2,2,2
Uni.,Action,491077,820,8.1,2.35,0,PG13,2007,115,70000000,30615497.1,442824138,2,3,2,2,2,3
Par.,Mystery,786092,964,8.1,2.35,53000,R,2010,138,80000000,36576254.59,294804195,2,2,2,2,2,2
Uni.,Action,348232,806,7.8,2.35,0,PG13,2004,108,75000000,31641175.81,288500217,2,3,2,2,2,2
Par.,Drama,793059,2528,7.7,2.35,26000,PG13,1997,194,200000000,156931143.8,1845034188,2,2,4,4,2,4
DW,Action,881236,2277,8.6,1.85,22000,R,1998,169,70000000,26407415.73,481840909,2,3,2,2,4,2
WB,Adventure,382255,1504,7.8,2.35,11000,PG,2004,141,130000000,86641175.81,789804554,2,3,2,3,2,2
Gram.,Crime,740918,1182,8.6,2.35,28000,R,1995,106,6000000,-26026455.82,23341568,1,4,3,2,3,2
Wein.,Comedy,72803,171,7.3,1.85,33000,PG13,2014,102,13000000,-28642067.61,54837234,2,3,2,2,2,5
Fox,Adventure,456260,2326,7,2.35,97000,R,2012,124,130000000,87417764.86,403170142,1,2,2,2,2,2
Sony,Action,283418,1055,5.8,2.35,13000,PG13,2009,158,200000000,159698755,769653595,2,2,2,2,2,4
Fox,Action,234480,444,6.4,1.85,3000,PG,2006,108,110000000,72105274.32,574480841,2,3,4,1,2,4
EC,Action,26767,121,5.1,2.35,0,PG13,2015,96,25000000,-17177171.7,72629670,1,3,4,2,3,5
WBNL,Comedy,316671,301,7,2.35,35000,R,2013,110,37000000,-7204533.29,269994119,2,2,2,2,2,4
BV,Drama,844052,1100,8.5,2.35,49000,PG13,2006,130,40000000,2105274.32,109676311,2,2,2,2,2,5
LGS,Action,58752,117,6,2.35,21000,PG13,2015,106,90000000,47822828.3,140396650,2,3,2,2,3,4
LGF,Action,270226,741,6.5,2.35,57000,R,2010,103,80000000,36576254.59,274470394,2,2,2,2,2,2
BV,Action,27481,113,6.8,2.35,12000,PG13,2016,114,80000000,21104976.26,52099090,2,3,2,4,2,2
Sum.,Drama,348007,1535,5.2,2.35,19000,PG13,2008,122,37000000,-3963509.83,392616625,2,1,4,1,2,4
LGF,Drama,93767,209,7.2,2.35,34000,PG13,2015,112,25000000,-17177171.7,42629776,1,3,2,2,5,2
BV,Adventure,623757,391,8.3,1.85,0,G,1995,81,30000000,-2026455.82,361958736,2,3,4,2,5,5
TriS,Action,338087,814,6.6,2.35,61000,R,2013,109,115000000,70795466.71,286140700,2,3,4,4,2,2
Mira.,Drama,469561,514,8.2,1.85,21000,R,1996,94,4000000,-30989060.86,16491080,2,2,3,2,3,3
Par.,Action,333847,2054,6.2,2.35,5000,PG13,2008,122,185000000,144036490.2,786636033,2,3,2,2,4,2
Uni.,Biography,865020,1273,8.9,1.85,41000,R,1993,195,22000000,-558951.85,321265768,2,2,1,2,5,5
Uni.,Biography,610568,1171,8.2,1.85,29000,PG13,2001,135,60000000,17363337.62,313542341,2,1,2,4,2,4
BV,Adventure,263853,584,7.2,2.35,0,G,2006,117,120000000,82105274.32,461983149,2,3,2,4,4,2
Fox,Biography,32507,119,7.5,2.35,15000,PG13,2016,106,23000000,-35895023.74,46152800,2,3,2,2,3,5
WB,Adventure,355137,1108,7.5,2.35,0,PG13,2007,138,150000000,110615497.1,938212738,2,2,2,4,2,2
Uni.,Action,138582,423,6.3,2.35,37000,PG13,2014,92,70000000,28357932.39,215529201,2,3,2,2,2,4
Par.,Action,256695,871,6.9,2.35,0,PG13,2006,126,150000000,112105274.3,397850012,2,2,2,2,2,2
Fox,Action,221128,343,7.9,2.35,46000,PG,2014,102,145000000,103357932.4,609123048,2,2,2,2,2,2
Fox,Action,165618,503,5.3,1.85,66000,R,2013,98,92000000,47795466.71,304654182,2,4,2,2,4,3
Uni.,Action,228554,710,6.1,2.35,53000,PG13,2012,127,170000000,127417764.9,396600000,2,3,2,2,2,2
Uni.,Horror,422432,1040,8.5,1.85,18000,R,1960,109,806948,-2686043.333,32000000,1,3,1,2,5,5
LGF,Action,435864,801,7.7,2.35,36000,R,2010,117,28000000,-15423745.41,96188903,2,3,2,4,2,5
MGM,Action,199025,416,7.2,2.35,0,PG13,1995,130,58000000,25973544.18,352194034,2,3,4,2,4,4
MGM,Action,157519,683,6.4,2.35,2000,PG13,1999,128,135000000,92481720.35,361832400,2,1,2,1,4,4
Uni.,Horror,139329,578,5.7,2.35,31000,R,2013,86,3000000,-41204533.29,89328627,2,3,3,4,4,3
UA,Action,82073,275,7,2.35,0,Approved,1965,130,11000000,2433333.333,141195658,2,3,4,4,4,4
BV,Adventure,286506,1463,6.9,2.35,0,PG,2005,143,180000000,139231497.3,748806957,4,3,4,1,2,2
WB,Biography,728685,989,8.7,1.85,25000,R,1990,146,25000000,1289980.87,46836394,2,2,2,2,5,5
Uni.,Comedy,471644,623,7,1.85,74000,R,2012,106,50000000,7417764.86,549368315,2,2,2,2,4,2
Par.,Action,504419,1559,8,2.35,19000,PG13,2009,127,150000000,109698755,385680446,2,3,4,4,2,2
BV,Adventure,260939,244,8,1.33,0,G,1992,90,28000000,6183266.07,504050219,1,1,4,2,5,5
LGF,Action,127258,351,6.1,2.35,56000,PG13,2014,127,90000000,48357932.39,206172544,2,2,2,2,2,2
WB,Adventure,387616,858,7.4,2.35,0,PG,2002,161,100000000,58955704.27,876688482,2,2,2,3,2,2
Sony,Action,158720,744,4.9,2.35,37000,PG13,2013,100,130000000,85795466.71,243843127,2,2,4,4,4,4
Par.,Action,465019,995,7,2.35,129000,PG13,2013,116,200000000,155795466.7,531865000,2,3,4,4,2,4
BV,Adventure,585659,593,8.1,1.85,0,G,2001,92,115000000,72363337.62,562816256,2,2,4,4,2,3
Rela.,Action,50056,152,6.3,2.35,0,R,2014,108,15000000,-26642067.61,32556119,2,3,2,2,5,5
WB,Action,364948,2121,6.7,2.35,0,R,2003,129,150000000,105940108,424988211,2,3,2,2,4,4
WB,Biography,115216,289,7,2.35,44000,R,2015,122,53000000,10822828.3,99775678,2,1,2,2,2,2
Sum.,Adventure,220758,919,4.6,2.35,13000,PG13,2009,130,50000000,9698754.96,709827462,2,1,2,4,2,4
WB,Comedy,130661,304,7.2,1.85,54000,PG13,2015,121,35000000,-7177171.7,194564672,2,2,2,2,4,4
WB,Action,338635,412,7.5,2.35,39000,PG13,2011,129,125000000,85750896.65,334615000,2,2,2,2,2,2
Fox,Action,403836,646,7.6,2.35,47000,PG13,2011,105,93000000,53750896.65,482860185,2,3,2,4,2,2
WBNL,Adventure,483540,951,7.9,2.35,83000,PG13,2013,161,250000000,205795466.7,958400000,2,2,2,2,4,4
WB,Action,305340,1676,6.4,2.35,0,R,2003,109,200000000,155940108,435000000,2,3,2,2,2,4
