Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Neighbors 2: Sorority Rising (2016),Released,English,1h 31m,"$35,000,000.00",-,Seth Rogen,Rose Byrne,Zac Efron,ChloÌÇ Grace Moretz,Kiersey Clemons,Dave Franco,Full Cast & Crew
Me Before You (2016),Released,English,1h 50m,"$20,000,000.00",-,Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance,Brendan Coyle,Steve Peacocke,Full Cast & Crew
The Equalizer (2014),Released,English,2h 12m,"$55,000,000.00","$192,330,738.00",Denzel Washington,Marton Csokas,ChloÌÇ Grace Moretz,David Harbour,Haley Bennett,Bill Pullman,Full Cast & Crew
Ted 2 (2015),Released,English,1h 55m,"$68,000,000.00","$215,863,606.00",Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi,Morgan Freeman,Full Cast & Crew
Lucy (2014),Released,English,1h 29m,"$40,000,000.00","$463,360,063.00",Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,Julian Rhind-Tutt,Pilou AsbÌ_k,Full Cast & Crew
The Nice Guys (2016),Released,English,1h 56m,"$50,000,000.00","$36,261,763.00",Russell Crowe,Ryan Gosling,Angourie Rice,Matt Bomer,Margaret Qualley,Keith David,Full Cast & Crew
Ice Age: Collision Course (2016),Released,English,1h 40m,"$105,000,000.00",-,John Leguizamo,Keke Palmer,Denis Leary,Ray Romano,Wanda Sykes,Jennifer Lopez,Full Cast & Crew
Inside Out (2015),Released,English,1h 34m,"$175,000,000.00","$857,427,711.00",Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black,Mindy Kaling,Full Cast & Crew
Nerve (2016),Released,English,1h 36m,"$20,000,000.00",-,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,Samira Wiley,Full Cast & Crew
The Lord of the Rings: The Fellowship of the Ring (2001),Released,English,2h 58m,"$93,000,000.00","$871,368,364.00",Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew
Finding Dory (2016),Released,English,1h 43m,"$200,000,000.00","$721,945,629.00",Ellen DeGeneres,Albert Brooks,Diane Keaton,Eugene Levy,Ty Burrell,Idris Elba,Full Cast & Crew
The Avengers (2012),Released,English,2h 23m,"$220,000,000.00","$1,518,594,910.00",Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Full Cast & Crew
Money Monster (2016),Released,English,1h 38m,"$27,000,000.00","$41,008,532.00",George Clooney,Julia Roberts,Jack O'Connell,Caitriona Balfe,Dominic West,Lenny Venito,Full Cast & Crew
Mike and Dave Need Wedding Dates (2016),Released,English,1h 38m,-,-,Zac Efron,Adam DeVine,Anna Kendrick,Aubrey Plaza,Sam Richardson,Stephen Root,Full Cast & Crew
