Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Revenant (2015),Fox,Released,English,2h 36m,"$135,000,000.00","$532,925,985.00",Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson,Brad Carter,Full Cast & Crew
The Hobbit: The Battle of the Five Armies (2014),WB (NL),Released,English,2h 24m,"$250,000,000.00","$955,119,788.00",Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,Full Cast & Crew
The Hunger Games: Mockingjay - Part 2 (2015),LGF,Released,English,2h 16m,"$160,000,000.00","$639,827,109.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Full Cast & Crew
Spectre (2015),Sony,Released,English,2h 28m,"$245,000,000.00","$880,674,609.00",Daniel Craig,Christoph Waltz,LÌ©a Seydoux,Ralph Fiennes,Monica Bellucci,Ben Whishaw,Full Cast & Crew
Tomorrowland (2015),BV,Released,English,2h 10m,"$190,000,000.00","$209,035,668.00",Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,Kathryn Hahn,Full Cast & Crew
Big Hero 6 (2014),BV,Released,English,1h 42m,"$165,000,000.00","$652,105,443.00",Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Damon Wayans Jr.,Full Cast & Crew
Southpaw (2015),Wein.,Released,English,2h 3m,"$30,000,000.00","$91,709,827.00",Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent,Skylan Brooks,Full Cast & Crew
Maze Runner: The Scorch Trials (2015),Fox,Released,English,2h 12m,"$61,000,000.00","$311,256,926.00",Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen,Barry Pepper,Full Cast & Crew
Ant-Man (2015),BV,Released,English,1h 55m,"$130,000,000.00","$518,178,306.00",Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Anthony Mackie,Full Cast & Crew
Inception (2010),WB,Released,English,2h 28m,"$160,000,000.00","$825,500,000.00",Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Cillian Murphy,Full Cast & Crew
The Dark Knight (2008),WB,Released,English,2h 32m,"$185,000,000.00","$1,001,921,825.00",Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Full Cast & Crew
Independence Day: Resurgence (2016),Fox,Released,English,2h 0m,"$200,000,000.00","$143,093,317.00",Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward,William Fichtner,Full Cast & Crew
The Legend of Tarzan (2016),WB,Released,English,1h 49m,"$180,000,000.00",-,Alexander SkarsgÌ´rd,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou,Simon Russell Beale,Full Cast & Crew
John Wick (2014),LG/S,Released,English,1h 41m,"$20,000,000.00","$78,739,897.00",Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,Dean Winters,Adrianne Palicki,Full Cast & Crew
Avengers: Age of Ultron (2015),BV,Released,English,2h 21m,"$250,000,000.00","$1,405,035,767.00",Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Full Cast & Crew
Chappie (2015),Sony,Released,English,2h 0m,"$49,000,000.00","$102,069,268.00",Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo,Hugh Jackman,Full Cast & Crew
Batman Begins (2005),WB,Released,English,2h 20m,"$150,000,000.00","$374,218,673.00",Christian Bale,Michael Caine,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,Full Cast & Crew
War Dogs (2016),WB,Released,English,1h 54m,-,-,Miles Teller,Jonah Hill,Ana de Armas,Barry Livingston,Brenda Koo,Jeff Pierre,Full Cast & Crew
X-Men: Days of Future Past (2014),Fox,Released,English,2h 11m,"$250,000,000.00","$746,000,000.00",Hugh Jackman,James McAvoy,Patrick Stewart,Michael Fassbender,Ian McKellen,Jennifer Lawrence,Full Cast & Crew
The Hunger Games: Catching Fire (2013),LGF,Released,English,2h 26m,"$130,000,000.00","$847,423,452.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Lenny Kravitz,Full Cast & Crew
Neighbors 2: Sorority Rising (2016),Uni.,Released,English,1h 31m,"$35,000,000.00",-,Seth Rogen,Rose Byrne,Zac Efron,ChloÌÇ Grace Moretz,Kiersey Clemons,Dave Franco,Full Cast & Crew
Me Before You (2016),WB (NL),Released,English,1h 50m,"$20,000,000.00",-,Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance,Brendan Coyle,Steve Peacocke,Full Cast & Crew
The Equalizer (2014),Sony,Released,English,2h 12m,"$55,000,000.00","$192,330,738.00",Denzel Washington,Marton Csokas,ChloÌÇ Grace Moretz,David Harbour,Haley Bennett,Bill Pullman,Full Cast & Crew
Ted 2 (2015),Uni.,Released,English,1h 55m,"$68,000,000.00","$215,863,606.00",Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi,Morgan Freeman,Full Cast & Crew
Lucy (2014),Uni.,Released,English,1h 29m,"$40,000,000.00","$463,360,063.00",Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,Julian Rhind-Tutt,Pilou AsbÌ_k,Full Cast & Crew
The Nice Guys (2016),WB,Released,English,1h 56m,"$50,000,000.00","$36,261,763.00",Russell Crowe,Ryan Gosling,Angourie Rice,Matt Bomer,Margaret Qualley,Keith David,Full Cast & Crew
Ice Age: Collision Course (2016),Fox,Released,English,1h 40m,"$105,000,000.00",-,John Leguizamo,Keke Palmer,Denis Leary,Ray Romano,Wanda Sykes,Jennifer Lopez,Full Cast & Crew
Inside Out (2015),BV,Released,English,1h 34m,"$175,000,000.00","$857,427,711.00",Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black,Mindy Kaling,Full Cast & Crew
Nerve (2016),LGF,Released,English,1h 36m,"$20,000,000.00",-,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,Samira Wiley,Full Cast & Crew
The Lord of the Rings: The Fellowship of the Ring (2001),NL,Released,English,2h 58m,"$93,000,000.00","$871,368,364.00",Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew
Finding Dory (2016),BV,Released,English,1h 43m,"$200,000,000.00","$721,945,629.00",Ellen DeGeneres,Albert Brooks,Diane Keaton,Eugene Levy,Ty Burrell,Idris Elba,Full Cast & Crew
Money Monster (2016),TriS,Released,English,1h 38m,"$27,000,000.00","$41,008,532.00",George Clooney,Julia Roberts,Jack O'Connell,Caitriona Balfe,Dominic West,Lenny Venito,Full Cast & Crew
Mike and Dave Need Wedding Dates (2016),Fox,Released,English,1h 38m,-,-,Zac Efron,Adam DeVine,Anna Kendrick,Aubrey Plaza,Sam Richardson,Stephen Root,Full Cast & Crew
The Hateful Eight (2015),Wein.,Released,English,2h 47m,"$44,000,000.00","$155,760,117.00",Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÌÁn Bichir,Tim Roth,Full Cast & Crew
Run All Night (2015),WB,Released,English,1h 54m,"$50,000,000.00","$71,561,644.00",Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill,GÌ©nesis RodrÌ_guez,Full Cast & Crew
Taken 3 (2015),Fox,Released,English,1h 49m,"$48,000,000.00","$325,771,424.00",Liam Neeson,Forest Whitaker,Famke Janssen,Maggie Grace,Dougray Scott,Sam Spruell,Full Cast & Crew
Whiplash (2014),SPC,Released,English,1h 45m,"$3,300,000.00","$13,993,092.00",Miles Teller,J.K. Simmons,Melissa Benoist,Austin Stowell,Jayson Blair,Kavita Patil,Full Cast & Crew
The Neon Demon (2016),BG,Released,English,1h 57m,"$6,000,000.00",-,Elle Fanning,Karl Glusman,Jena Malone,Bella Heathcote,Abbey Lee,Christina Hendricks,Full Cast & Crew
Blair Witch (2016),LGF,Released,English,1h 30m,-,-,Corbin Reid,Wes Robinson,Valorie Curry,James Allen McCune,Callie Hernandez,Brandon Scott,Full Cast & Crew
Train to Busan (2016),WGUSA,Released,Korean,1h 58m,-,-,Gong Yoo,Ma Dong-Seok,Jung Yoo-mi,Choi Woo-shik,Ahn So-hee,Kim Soo-Ahn,Full Cast & Crew
Kung Fu Panda 3 (2016),Fox,Released,English,1h 35m,"$145,000,000.00","$519,881,355.00",Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,J.K. Simmons,Jackie Chan,Full Cast & Crew
Triple 9 (2016),ORF,Released,English,1h 55m,"$28,000,000.00","$12,639,297.00",Casey Affleck,Chiwetel Ejiofor,Kate Winslet,Aaron Paul,Norman Reedus,Gal Gadot,Full Cast & Crew
The Dark Knight Rises (2012),WB,Released,English,2h 45m,"$250,000,000.00","$1,081,041,287.00",Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy,Marion Cotillard,Full Cast & Crew
Up (2009),BV,Released,English,1h 36m,"$175,000,000.00","$731,342,744.00",Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo,Jerome Ranft,Full Cast & Crew
Avatar (2009),Fox,Released,English,2h 42m,"$237,000,000.00","$2,781,505,847.00",Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Full Cast & Crew
The Fault in Our Stars (2014),Fox,Released,English,2h 5m,"$12,000,000.00","$305,151,265.00",Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,Sam Trammell,Willem Dafoe,Full Cast & Crew
Star Wars (1977),Fox,Released,English,2h 1m,"$11,000,000.00","$775,398,007.00",Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Full Cast & Crew
Room (2015),A24,Released,English,1h 57m,"$6,000,000.00","$35,401,758.00",Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy,Megan Park,Full Cast & Crew
Fifty Shades of Grey (2015),Uni.,Released,English,2h 5m,"$40,000,000.00","$569,651,467.00",Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk,Luke Grimes,Full Cast & Crew
Divergent (2014),LG/S,Released,English,2h 19m,"$85,000,000.00","$288,747,895.00",Shailene Woodley,Theo James,Kate Winslet,Miles Teller,Ray Stevenson,Maggie Q,Full Cast & Crew
A Walk Among the Tombstones (2014),Uni.,Released,English,1h 53m,"$28,000,000.00","$53,181,600.00",Liam Neeson,Dan Stevens,David Harbour,Boyd Holbrook,Adam David Thompson,Razane Jammal,Full Cast & Crew
The Purge: Election Year (2016),Uni.,Released,English,1h 45m,"$10,000,000.00",-,Elizabeth Mitchell,Frank Grillo,Mykelti Williamson,Edwin Hodge,Raymond J. Barry,Ethan Phillips,Full Cast & Crew
Birdman (2014),FoxS,Released,English,1h 59m,"$18,000,000.00","$103,215,094.00",Michael Keaton,Zach Galifianakis,Edward Norton,Emma Stone,Naomi Watts,Amy Ryan,Full Cast & Crew
Dirty Grandpa (2016),LGF,Released,English,1h 42m,"$11,500,000.00","$94,073,028.00",Zac Efron,Robert De Niro,Julianne Hough,Aubrey Plaza,Dermot Mulroney,Zoey Deutch,Full Cast & Crew
